OTU,S1,S2,S3,S4,S5,S6,S7,S8,S9,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu88,3,10,32,5,10,1,187,66,354,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Microbacteriaceae,g__Leucobacter,
Otu230,0,0,0,0,0,0,610,0,16,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Pseudofulvimonas,
Otu113,0,3,2,0,7,0,172,80,340,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Phyllobacteriaceae,g__Aminobacter,
Otu141,4,4,6,1,16,5,191,69,322,k__Bacteria,p__Hydrogenedentes,,,,,
Otu183,0,0,0,87,270,104,67,35,102,k__Bacteria,p__Saccharibacteria,,,,,
Otu216,1,0,0,0,0,0,323,48,232,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Phyllobacteriaceae,g__Nitratireductor,
Otu219,25,12,21,132,166,77,151,19,69,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Christensenellaceae,g__Christensenellaceae R-7 group,
Otu24,3,14,15,5,7,2,200,70,244,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__Caenispirillum,
Otu147,4,5,14,90,79,29,69,59,278,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfobacterales,f__Desulfobulbaceae,g__Desulfobulbus,
Otu200,0,0,0,0,1,0,455,19,90,k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Order III,f__BIgi5,,
Otu252,40,67,206,98,38,17,185,6,62,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__vadinBC27 wastewater-sludge group,
Otu213,61,89,248,11,10,2,146,25,121,k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Arcobacter,
Otu181,4,8,15,6,12,1,113,86,270,k__Bacteria,p__Cyanobacteria,c__ML635J-21,,,,
Otu155,0,0,0,90,218,130,66,19,96,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Lactococcus,
Otu64,5,3,60,2,3,5,63,66,433,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Pannonibacter,
Otu48,2,2,0,0,3,0,146,64,368,k__Bacteria,,,,,,
Otu207,199,60,123,86,26,14,165,9,54,k__Bacteria,p__Synergistetes,c__Synergistia,o__Synergistales,f__Synergistaceae,g__uncultured,
Otu112,1,1,2,19,86,37,31,47,460,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidia Incertae Sedis,f__Draconibacteriaceae,g__uncultured,
Otu146,309,36,200,3,16,4,22,42,170,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Nocardiaceae,g__Rhodococcus,
Otu153,0,1,0,0,2,1,137,76,316,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Meganemaceae,,
Otu203,10,14,30,60,123,57,193,20,89,k__Bacteria,p__Cloacimonetes,c__LNR A2-18,,,,
Otu148,0,0,0,26,217,110,48,34,154,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,,
Otu314,1,7,11,31,0,0,433,14,30,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Hyphomicrobium,
Otu186,191,211,325,18,6,2,6,1,22,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Family XII,g__Fusibacter,
