SV,Ex_S1,Ex_S2,Ex_S3,Ex_S4,Ex_S5,Ex_S6,Ex_S7,Ex_S8,Ex_S9,Ex_S10,Ex_S11,Ex_S12,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu218,6,1730,19,850,2,27,6,80,312,40,0,0,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Hydrogenophaga,
Otu118,2,24,0,209,2,179,0,362,127,26,6,166,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Devosia,
Otu123,3,10,8,246,38,380,2,4,17,21,1,2,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__Azospirillum,
Otu255,0,0,0,2,0,0,0,1058,1,1222,0,2,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Nitrosomonadales,f__Nitrosomonadaceae,g__Nitrosomonas,
Otu116,1,0,13,35,0,5,4,41,8,82,372,28,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Arenimonas,
Otu156,24,74,27,624,5,222,5,281,76,537,12,68,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__Anaerolineales,f__Anaerolineaceae,,
Otu140,72,12,5,7,52,225,24,124,6,4,39,4,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,g__Azonexus,
Otu131,1716,130,300,234,17,43,138,357,1029,119,65,19,k__Bacteria,p__Tenericutes,c__Mollicutes,o__Acholeplasmatales,f__Acholeplasmataceae,g__Acholeplasma,
Otu172,2,4,1,9,0,0,21,326,48,32,143,69,k__Bacteria,p__Cloacimonetes,c__LNR A2-18,,,,
Otu185,0,0,1,1,0,0,0,0,0,4,0,0,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,
Otu207,29,8,5,74,32,21,107,90,1077,28,87,6,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__vadinBC27 wastewater-sludge group,
Otu151,1,0,10,0,10,0,208,6,501,58,263,163,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__Anaerolineales,f__Anaerolineaceae,g__Candidatus Villogracilis,
Otu236,60,0,20,16,74,35,66,70,18,34,19,13,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Desulfovibrio,
Otu166,31,23,21,47,54,60,99,75,518,35,174,48,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Christensenellaceae,g__Christensenellaceae R-7 group,
Otu134,3,2,10,72,1,21,0,59,7,28,124,49,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Phaselicystidaceae,g__Phaselicystis,
Otu203,36,75,7,88,20,35,61,140,233,74,35,27,k__Bacteria,p__Elusimicrobia,c__Elusimicrobia,o__Lineage I (Endomicrobia),,,
Otu200,36,39,41,263,23,70,17,12,2,20,18,52,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Oligoflexales,,,
Otu145,68,102,31,548,46,242,2,28,30,7,8,39,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Alcaligenaceae,g__Parapusillimonas,
Otu287,1,1,0,0,2,1,0,0,0,0,0,3,k__Bacteria,p__Acidobacteria,c__Holophagae,o__Holophagales,f__Holophagaceae,g__Geothrix,
Otu141,39,15,6,4,32,11,122,26,91,10,322,40,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfomicrobiaceae,g__Desulfomicrobium,
Otu209,0,0,0,0,1,0,226,78,1030,98,134,11,k__Bacteria,p__Synergistetes,c__Synergistia,o__Synergistales,f__Synergistaceae,g__Lactivibrio,
Otu128,0,1,1,9,6,670,0,3,1,62,1,30,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Phenylobacterium,
Otu150,35,18,22,147,18,30,116,253,1153,368,26,4,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Family XI,,
Otu159,5,22,3,45,7,73,1,111,12,27,2,23,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Rhodobacter,
Otu160,191,107,32,1381,211,63,18,6,11,63,1,1,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Family XII,g__Fusibacter,
Otu175,199,28,237,526,60,120,86,165,521,187,29,9,k__Bacteria,p__Synergistetes,c__Synergistia,o__Synergistales,f__Synergistaceae,,
Otu189,37,5,23,316,21,39,107,147,689,65,106,16,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Christensenellaceae,g__Christensenellaceae R-7 group,
Otu127,0,376,4,1742,0,46,0,81,0,7,27,47,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Phyllobacteriaceae,g__Aquamicrobium,
Otu164,90,35,3,80,65,280,10,17,6,5,15,2,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,
Otu261,0,0,0,3,0,2,101,84,550,68,84,2,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Christensenellaceae,g__Christensenellaceae R-7 group,
Otu143,7,9,27,237,43,951,1,0,78,1,3,0,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Stenotrophomonas,
Otu148,0,291,18,555,0,736,0,57,0,14,2,34,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Cryomorphaceae,g__Fluviicola,
Otu188,0,0,0,0,0,0,42,72,601,65,124,8,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,,
Otu130,20,0,13,21,18,435,3,38,0,0,10,0,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,
Otu155,16,25,80,274,62,54,22,11,1309,57,40,3,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Syntrophobacterales,f__Syntrophaceae,g__Smithella,
Otu195,127,97,61,59,47,33,43,56,190,29,40,59,k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Erysipelothrix,
Otu129,10,329,39,3917,0,2,0,21,1,172,1,12,k__Bacteria,p__Chlamydiae,c__Chlamydiae,o__Chlamydiales,f__Parachlamydiaceae,g__Candidatus Protochlamydia,
Otu154,9,2,12,137,26,66,11,174,356,18,25,217,k__Bacteria,p__Chlorobi,c__Chlorobia,o__Chlorobiales,f__OPB56,,
Otu199,425,4,12,9,80,5,254,3,378,5,182,0,k__Bacteria,p__Cloacimonetes,c__GZKB75,,,,
Otu210,4,1,0,6,1,0,18,294,59,37,124,68,k__Bacteria,p__Cloacimonetes,c__LNR A2-18,,,,
Otu163,67,8,203,302,30,80,63,48,329,114,53,16,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__Anaerolineales,f__Anaerolineaceae,,
Otu190,31,6,14,29,27,21,33,808,3,140,66,151,k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Arcobacter,
Otu325,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Acidovorax,
Otu167,1,9,1,38,2,53,1,151,24,209,17,107,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Devosia,
Otu197,13,4,3,12,28,100,22,44,2,10,9,3,k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Arcobacter,
Otu144,1,0,5,48,3,2,101,111,1678,284,124,9,k__Bacteria,p__Chlorobi,c__Ignavibacteria,o__Ignavibacteriales,f__SR-FBR-L83,,
Otu191,278,31,63,24,193,27,27,9,15,12,31,15,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Desulfovibrio,
Otu171,177,47,123,500,182,372,0,3,6,15,0,0,k__Bacteria,p__Tenericutes,c__Mollicutes,o__Acholeplasmatales,f__Acholeplasmataceae,g__Acholeplasma,
Otu169,56,9,26,120,23,50,162,111,324,114,32,5,k__Bacteria,p__Spirochaetae,c__Spirochaetes,o__Spirochaetales,f__Leptospiraceae,,
Otu157,94,16,29,18,143,281,7,3,7,1,11,1,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfobacterales,f__Desulfobacteraceae,g__Desulfatiferula,
Otu225,3,6,0,91,0,81,0,1468,0,116,1,89,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,,
Otu339,1,0,0,0,1,1,1,3,0,0,2,1,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,g__Zoogloea,
Otu201,228,31,105,61,109,82,14,16,58,9,15,4,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae 1,g__Proteiniclasticum,
Otu214,0,0,0,0,0,0,214,241,2269,164,30,6,k__Bacteria,p__Saccharibacteria,,,,,
Otu147,0,0,8,75,2,80,0,147,149,2,10,49,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Legionellales,f__Legionellaceae,g__Legionella,
Otu250,22,1,40,41,25,8,18,18,113,75,11,147,k__Bacteria,p__Spirochaetae,c__Spirochaetes,o__Spirochaetales,f__Spirochaetaceae,g__Treponema 2,
Otu208,130,1,62,2,152,0,300,3,343,3,114,0,k__Bacteria,p__Spirochaetae,c__Spirochaetes,o__Spirochaetales,f__Spirochaetaceae,,
Otu180,0,20,0,151,0,15,0,76,18,116,83,92,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Phyllobacteriaceae,g__Mesorhizobium,
